topic,title,content,url
Thời sự,Thủ tướng yêu cầu làm rõ trách nhiệm để Covid-19 lây ra cộng đồng,"TP HCM và Bộ Y tế được giao làm rõ trách nhiệm của tổ chức, cá nhân trong việc thực hiện quy trình cách ly liên quan đến ""bệnh nhân 1342"".",https://vnexpress.net/thu-tuong-yeu-cau-lam-ro-trach-nhiem-de-covid-19-lay-ra-cong-dong-4199920.html
Thời sự,Tìm thấy thi thể nữ du khách bị lũ cuốn,"Thi thể nữ du khách được kẹt dưới cầu treo, nơi chị gặp nạn khi đi khám phá vườn quốc gia ở huyện Lạc Dương hai ngày trước.",https://vnexpress.net/tim-thay-thi-the-nu-du-khach-bi-lu-cuon-4199869.html
Thời sự,Nhiều nơi ở Nha Trang ngập trong mưa lũ,"Mưa lớn trong những ngày qua khiến đường sá, nhà cửa ở Nha Trang chìm trong nước, đời sống người dân bị xáo trộn.",https://vnexpress.net/nhieu-noi-o-nha-trang-ngap-trong-mua-lu-4199688.html
Thời sự,Hơn 1.200 tài xế bị phạt 'nguội' ở cổng Bệnh viện Bạch Mai,"Từ tháng 11/2019 đến nay, hơn 1.200 ôtô vi phạm các lỗi dừng đỗ trái phép trước cổng Bệnh viện Bạch Mai, tổng số tiền xử phạt gần một tỷ đồng.",https://vnexpress.net/hon-1-200-tai-xe-bi-phat-nguoi-o-cong-benh-vien-bach-mai-4199740.html
Thời sự,"Phong tỏa khu dân cư, nơi ở 2 người nhiễm nCoV","52 hộ dân ở đường Phạm Phú Thứ, quận 6 và tòa nhà trên đường Bạch Đằng, quận Tân Bình, bị phong tỏa do liên quan 2 ca nhiễm nCoV vừa công bố.",https://vnexpress.net/phong-toa-khu-dan-cu-noi-o-2-nguoi-nhiem-ncov-4199755.html
Thời sự,50 m quốc lộ nối Khánh Hòa - Đăk Lăk bị cuốn trôi,"Đoạn quốc lộ 26 bị nước lũ cuốn trôi khiến con đường độc đạo từ Khánh Hòa đi Đăk Lăk bị chia cắt, các xe phải chạy vòng xa hơn 120 km.",https://vnexpress.net/50-m-quoc-lo-noi-khanh-hoa-dak-lak-bi-cuon-troi-4199710.html
Thời sự,36 du khách đã xuống núi sau hai ngày mắc kẹt,"Đoàn cứu hộ 30 người đã băng bộ đường rừng, đưa 36 du khách TP HCM kẹt trên núi Tà Giang xuống trung tâm xã Thành Sơn, trưa 1/12.",https://vnexpress.net/36-du-khach-da-xuong-nui-sau-hai-ngay-mac-ket-4199747.html
Thời sự,Ba cha con tử vong vì bị lũ cuốn,"Lúc băng qua con suối để sang bố vợ chơi, anh Nguyễn Ngọc Duy, 35 tuổi, ở Nha Trang, cùng hai con gái bị lũ cuốn tử vong.",https://vnexpress.net/ba-cha-con-tu-vong-vi-bi-lu-cuon-4199679.html
Thời sự,Hơn 10 xưởng gỗ ở Hà Nội bốc cháy dữ dội,"Khói lửa bao trùm diện tích cả nghìn m2 nơi đặt hơn 10 xưởng gỗ ở xã Hữu Bằng, Thạch Thất, Hà Nội, sáng 1/12.",https://vnexpress.net/hon-10-xuong-go-o-ha-noi-boc-chay-du-doi-4199705.html
Thời sự,Hủy nhiều chuyến tàu qua Nha Trang do mưa lũ,"Ngày 1/12, ít nhất 5 chuyến tàu khách qua thành phố Nha Trang phải dừng chạy vì nước ngập đường ray.",https://vnexpress.net/huy-nhieu-chuyen-tau-qua-nha-trang-do-mua-lu-4199683.html
Thời sự,Nước lũ bủa vây nhiều khu dân cư ở Quảng Nam,"Mưa lớn và hồ thủy lợi, thủy điện xả lũ khiến nhiều khu dân cư ở Quảng Nam ngập sâu, một số xã miền núi bị cô lập.",https://vnexpress.net/nuoc-lu-bua-vay-nhieu-khu-dan-cu-o-quang-nam-4199625.html
Thời sự,Ôtô được chạy trên cao tốc Trung Lương - Mỹ Thuận dịp Tết,"Ôtô dưới 16 chỗ, xe tải dưới 2,5 tấn sẽ được chạy một chiều vào cao tốc Trung Lương - Mỹ Thuận vào dịp Tết Nguyên đán 2021.",https://vnexpress.net/oto-duoc-chay-tren-cao-toc-trung-luong-my-thuan-dip-tet-4199485.html
